video_name,hip_rom,knee_rom,torso_stability,heel_instability,toe_instability,knee_min_angle,hip_min_angle,torso_lean_peak,torso_lean_mean,descent_frames,ascent_frames,descent_ascent_ratio,knee_over_toe_mean,knee_over_toe_max,hip_below_knee_frac
30,43.67246891620432,45.626522437626605,2.1198568118368355,0.8838225002529543,0.647224570452605,95.72333887638692,102.5091386338606,18.025974661850583,15.620883537055356,41.0,30.0,1.3666666211111125,-0.4664104018410101,-0.2659295660762397,0.0
31,34.64743584808852,39.87834337304591,3.2644507729748,1.491631371889965,1.4575106756694125,92.78220880024888,103.32838189236016,16.425678613557107,15.661958786351672,4.0,34.0,0.1176470553633219,-0.5011567758687556,-0.3223034317353531,0.0
32,64.5177396452576,59.70696032179504,2.109268342686174,0.7032950550107282,3.276124275521442,48.85603978197042,60.84441216141427,20.244173638207908,17.73947552536345,3.0,31.0,0.096774190426639,-0.657347507249906,-0.5134295724088571,0.6388888888888888
33,42.19200959792573,39.1647305105879,2.723959169844349,1.2439715021706876,3.564789558211141,48.72188052708486,58.80646770753262,21.001129392364,19.02044835050615,46.0,1.0,45.999954000046,-0.6733515599276045,-0.640087309966557,0.6111111111111112
34,65.7004152863723,61.403555983177256,1.4322469035116785,1.7942413011546918,3.0279343430174754,49.41859169508824,60.230552713294266,22.07817193959287,18.699552709143404,3.0,33.0,0.09090908815427,-0.6657871569163172,-0.5063464832061787,0.5833333333333334
35,59.47063457644842,52.897334184242006,1.6303119716325007,1.154098775081443,0.9347966777762426,63.46269552986478,61.97448255621268,30.412108005087138,27.39952201115053,44.0,33.0,1.3333332929292945,-0.6048003707784958,-0.3973847526592112,0.0
36,58.4398378290351,55.43202183496115,3.120925884555928,1.5384257396950012,0.4745468298423729,69.20733121213607,65.69956017041844,31.968684282910807,27.9635012283251,54.0,33.0,1.6363635867768611,-0.571290021075485,-0.3123349370020751,0.0
37,61.75487186868821,58.49710136677898,3.437857575884359,0.7697687718844626,0.6542443967411842,64.16793467195562,78.3908352000173,20.26900732653097,15.653562812579333,40.0,36.0,1.1111110802469144,-0.6891195768735028,-0.5089723910477424,0.0
38,58.91011346955452,51.87284017752256,2.3645473784229694,0.6136331662164968,1.6990609606866731,64.8130980659345,71.75770985370113,19.351000982717736,17.457126093488835,48.0,36.0,1.3333332962962974,-0.622365174549188,-0.499758098317031,0.1111111111111111
39,58.70013699708939,56.06253746455019,1.4407225875068004,0.8494101294574758,1.5898288324802576,70.72371055499983,76.90169774736289,22.224242957249068,19.203504269337092,47.0,35.0,1.342857104489797,-0.6162076138354189,-0.3430144507197047,0.0
