video_name,hip_rom,knee_rom,torso_stability,heel_instability,toe_instability,knee_min_angle,hip_min_angle,torso_lean_peak,torso_lean_mean,descent_frames,ascent_frames,descent_ascent_ratio,knee_over_toe_mean,knee_over_toe_max,hip_below_knee_frac,squat_depth,lumbar_flexion,forward_lean,descent_control,ascent_sticking,foot_stability
405.0,56.89670106104154,22.34962535127497,10.107091935644895,3.385432011939986,3.7450657116681754,146.73693061997488,116.19241878199466,34.983977622616656,6.764528237296839,12.0,8.0,1.4999998125000236,-0.1038155362048928,0.0302777979333821,0.0,0,0,2,0,0,0
406.0,29.4447036054799,26.44875918782062,1.8300360794984505,3.274745061462019,4.135764076532074,46.98975855539431,34.80946595951414,31.615264213951168,30.864605494518337,2.0,47.0,0.0425531905839746,-0.4168090009392558,-0.3824528994770478,0.9166666666666666,2,2,0,0,0,0
407.0,34.662502749745016,37.812224471003134,1.8358921922372249,1.883019394250627,1.52635094522174,40.71063940933642,35.89794796805569,30.76783649824624,29.541737240968544,40.0,51.0,0.7843137101114959,-0.4655726468644788,-0.4452965312861247,0.9444444444444444,2,2,0,0,0,0
408.0,41.67047215419901,35.88108701978777,2.133447137541813,0.840882842311416,2.645755675119664,49.119565753008885,33.71218509756675,37.69879710783145,36.070067264236776,4.0,38.0,0.1052631551246538,-0.4650959622188642,-0.4464086466853914,0.7777777777777778,2,2,0,0,0,0
409.0,30.653567236735803,32.070302108292694,2.7751124227106385,1.0688676854712622,2.752000098777535,72.50952866510114,45.1757521957292,46.295152151677925,43.88970212848509,37.0,2.0,18.499990750004624,-0.3994317492067187,-0.3512600232269958,0.0277777777777777,1,2,0,0,0,0
410.0,59.72700242032232,41.70642487149833,3.027139711782906,1.4784729892020956,2.7949644532846647,79.76362546343186,45.01030134700534,52.55356736112997,44.93417206984858,2.0,30.0,0.0666666644444445,-0.3536978051712679,-0.3036551571563636,0.0,1,1,0,0,0,0
411.0,78.82612094069889,21.18372366818579,12.321365451177511,6.920357375672357,8.930004029281156,145.0597824888302,72.6954076754045,51.904911955748815,9.628459882366064,3.0,10.0,0.299999970000003,-0.206431343630013,0.0290379584226254,0.0,1,1,0,0,0,0
412.0,47.01262598280008,36.64191905229805,2.336673811172228,1.9534255636765512,4.256852484967987,80.07058161987302,42.565772997422656,62.478618983094606,52.75904574624786,43.0,38.0,1.1315789175900286,-0.425742940792546,-0.3031351241715921,0.0,1,2,0,0,0,0
413.0,46.63116603493754,22.89312449945183,3.771593453653955,2.821734234826027,3.645652221328172,103.209067217127,47.37681891079351,75.28127756361208,64.78136350396903,35.0,34.0,1.0294117344290667,-0.3250273256733016,-0.2468469515513872,0.0,1,1,2,0,0,0
414.0,57.806196683417866,43.18926670184646,19.850124081156373,1.9490818237363303,5.062156476645794,133.59480110592563,114.4961960454598,34.57310476351424,19.692321726487208,8.0,8.0,0.9999998750000156,-0.301181969198611,-0.1581589818428815,0.0,0,1,0,0,0,0
415.0,34.63061260737082,30.250562082578213,1.3156749663513163,1.2500089628251168,2.327977245929904,59.28604659375179,50.049004629287495,31.714522794002026,29.522009486465198,1.0,25.0,0.0399999984,-0.5730482943897955,-0.5200488124627066,0.6111111111111112,2,2,0,0,0,0
416.0,26.131451029900767,23.98195099419613,2.118700359119781,1.8360597843466504,4.254304071134805,104.62860889118444,52.1406609267488,80.71269789453008,64.22647861543051,60.0,4.0,14.999996250000937,-0.2420038209247188,-0.1390343773703771,0.0,0,1,2,0,0,0
417.0,57.755857557074975,25.151786458657867,3.021264170714631,4.464516216274758,7.510318874426523,104.6414270091514,64.18906245797335,66.05726663268379,48.10013432931069,2.0,31.0,0.0645161269510926,-0.2659437651445139,-0.2228395156242108,0.0,0,1,1,0,0,0
418.0,59.28694324631505,15.805878287684097,4.197473340749402,2.393133666644394,4.911371821126096,124.94540871650386,70.37511395119233,63.8569793126972,44.392917364260526,10.0,26.0,0.3846153698224858,-0.2166841698216705,-0.1595266726977248,0.0,0,1,2,0,0,0
419.0,29.09063851246401,19.40092881581924,1.9819368417519143,3.795645777272501,3.8571378649380494,129.1176016371278,81.66872399027457,55.24552611225847,48.86208989317052,46.0,42.0,1.0952380691609984,-0.1535172889426785,-0.1086748336717915,0.0,0,0,1,0,0,0
420.0,47.34853593953487,29.11739977625309,1.6531949998382238,2.7973383661511737,5.285032515077472,107.59335911623364,63.507860798067824,59.94828470001123,53.28656700151358,60.0,31.0,1.9354838085327803,-0.2874785923376872,-0.2153553784871731,0.0,0,1,1,0,0,0
421.0,55.41468228112025,34.734557972253725,1.3802347682076457,3.426464672629696,2.421801651184282,104.60423697441313,65.9346203016636,60.08586010331248,47.205322134621696,4.0,24.0,0.1666666597222225,-0.2985641773758068,-0.1914858140851675,0.0,0,1,1,0,0,0
422.0,45.84804359291314,30.00343028892576,1.4983039769502815,4.741935542405429,4.62548222704765,112.0027130287973,69.63514957922703,57.88965764644763,51.01366387010363,49.0,33.0,1.4848484398530777,-0.2693612539498419,-0.157687501986768,0.0,0,1,2,0,0,0
423.0,16.435820652810406,8.05420795379294,1.0353863904682974,1.1405374565463062,2.042435152558284,113.07455700244124,78.24214736021135,48.95409291222116,44.73981682763646,3.0,47.0,0.063829785875962,-0.3668654333999449,-0.3350841789688411,0.0,0,1,1,0,0,0
424.0,36.3010371807095,9.779621187599702,23.048399247996876,6.3024538205419525,9.52742700757202,150.59879983961088,129.65610842036193,68.75878694813956,32.974999127565134,3.0,9.0,0.3333332962963004,0.0015349252430295,0.6376304611375226,0.0,0,1,0,0,0,0
425.0,9.634209864991677,16.631303034290852,2.8935247219831832,1.659343968421585,4.94404784275436,128.1015221556856,68.60223734826286,99.11217251516044,98.0478537983378,7.0,26.0,0.26923075887574,0.3564611527758493,0.632677624903417,1.0,0,1,0,0,0,0
426.0,19.35788798267072,20.28861892548225,1.3293575813680512,0.5608935777462518,1.4921595579515925,95.11294084969472,74.82499804773748,37.67803881308102,37.03496695414859,53.0,4.0,13.249996687500827,-0.425653068660642,-0.3412253150922201,0.0,1,2,0,0,0,0
427.0,36.54784354320762,29.68413385107461,1.7401349016619645,0.7724462933709553,2.606570473492484,85.70691235072614,58.800592121854976,46.76480111341186,42.98950430139122,2.0,39.0,0.0512820499671269,-0.461436718646411,-0.3869728582150175,0.0,1,1,0,0,0,0
428.0,36.03799888567458,53.465747761544506,1.8321182979512312,1.998886129299736,2.11709812818026,81.39952060981956,61.95874781150157,47.32674652771122,40.40503493120265,28.0,2.0,13.9999930000035,-0.4278298116101482,-0.2571195581763071,0.0,1,1,0,0,0,0
429.0,41.04255765809778,40.8387258341499,2.4796082603150755,1.9029211158935644,4.063284212694259,90.5775807513888,64.05427117613183,46.55612148667799,42.14700922368316,36.0,2.0,17.9999910000045,-0.4275630359534529,-0.3188169125694802,0.0,1,0,0,0,0,0
430.0,51.2238020919155,43.76387416268816,3.939582167367584,1.63025353201711,2.452494873501089,85.51996521642744,62.49633771213888,40.84245200944372,36.920600720429285,33.0,31.0,1.0645160946930292,-0.3952883142374311,-0.294120061536016,0.0,1,1,0,0,0,0
431.0,44.88003846489645,32.26183778904523,2.346955928585914,2.002582184000783,2.031594607923587,86.00827774232769,70.28035039232819,38.5513647087782,34.39218507250297,2.0,33.0,0.0606060587695133,-0.502443077677309,-0.3613682529819164,0.0,1,1,0,0,0,0
432.0,49.51401075217998,45.11429072346844,1.305126921041999,1.4846355990634348,1.1834385423850584,63.876382398446864,50.3165691322121,39.25740173936507,35.66962095963591,37.0,32.0,1.1562499638671888,-0.5285576467321954,-0.3490411901543466,0.3333333333333333,2,2,0,0,0,0
433.0,37.00646538154118,33.84097490922542,2.2527635976571974,1.4647321838979783,1.4402000178859218,66.3803628418379,51.91963511762663,37.51531561920085,36.2777648418438,36.0,1.0,35.999964000036,-0.575940214027569,-0.5556360641218749,0.2777777777777778,2,2,0,0,0,0
434.0,43.53995908119572,35.545302945247926,0.6519956077977337,1.1946726761422295,1.526376016271256,63.64398546932343,49.287355130727406,35.99570659942597,33.175174286906866,38.0,4.0,9.499997625000594,-0.5934205381182724,-0.5030665523723562,0.6111111111111112,2,2,0,0,0,0
435.0,27.40817572294712,15.95950705996502,2.511121344317221,1.1550538912383357,1.6069001488094412,109.00600177719552,64.1906912192111,63.55603880769496,56.40807215916376,2.0,22.0,0.0909090867768596,-0.3927065711920118,-0.3358256429918353,0.0,0,2,2,0,0,0
436.0,7.1736853338668425,13.794288314065083,5.882095151072119,1.5646225246609948,2.44435314069566,114.51201799076463,74.30587798322588,60.97407621470993,56.55124532726296,60.0,2.0,29.9999850000075,-0.3355871273349214,-0.2537830370257031,0.0,0,2,2,0,0,0
437.0,37.82480397721477,16.512639981541355,5.6970248620983845,2.514029995297463,2.5220348353794337,118.16534926456126,80.84504562235885,59.12785955112544,41.41026131923413,2.0,37.0,0.0540540525931337,-0.3643676463328286,-0.2623731301143593,0.0,0,2,1,0,1,0
438.0,10.56247143025628,49.50765692228964,2.4649328236706123,6.010390052623266,12.086955365582394,63.995950399670406,76.74581784129337,53.37706447184663,51.0123634630855,9.0,9.0,0.9999998888889012,-0.319392460070281,-0.2859709891070264,0.0,0,2,1,0,0,0
439.0,21.069037572863834,5.570768524208688,3.501075616412436,1.172273551282651,0.5941139384403521,129.18356937889746,97.62504885894248,45.74125338632731,38.14734668099798,46.0,2.0,22.99998850000575,-0.269198113574542,-0.2338484954460766,0.0,0,2,0,0,0,0
440.0,13.03588274498044,8.630001542129946,3.008119888894782,1.6223747712216805,2.0728557509595302,126.55531865766328,91.94321691417296,46.74594586863198,43.9668870893906,35.0,57.0,0.6140350769467531,-0.2573250295005106,-0.2218997263726327,0.0,0,2,0,0,0,0
441.0,25.052165393894555,5.228820027431482,5.466281718086891,0.8831145061313131,1.4714978561416057,126.69337923650689,73.38332775610812,62.93748066861902,56.96512881904701,14.0,5.0,2.799999440000112,-0.2292688969907419,-0.206719916905517,0.0,0,2,2,0,0,0
442.0,23.578432363179104,9.527474947820323,2.9990200111688083,0.8746231486976596,1.4706816925028487,120.52072422937864,77.78975534319797,56.95555341903276,50.67729458590254,41.0,35.0,1.171428537959185,-0.299375571437493,-0.2514158159999948,0.0,0,2,1,0,0,0
443.0,33.45330392249136,25.65138349106448,14.99848698033221,3.374440952192471,5.006377197557165,145.1130068091604,123.94222199827276,30.49588176560981,25.36367186659832,7.0,0.0,,-0.138393681493688,-0.0536168490966476,0.0,0,2,1,0,0,0
444.0,32.69195592784962,24.4561558181116,3.924068057730535,1.6580276872351072,2.420993973902999,111.78691208779207,82.64016117746644,54.11641796129247,42.89265826775656,43.0,34.0,1.2647058451557105,-0.3864534180634318,-0.2598624076024421,0.0,0,1,0,0,0,0
445.0,34.91249327726885,15.329475381226075,2.8486373259086566,2.366437993710686,1.8848109690139216,107.21057461917172,83.38297116206462,48.60841757233205,37.32458890678729,2.0,48.0,0.0416666657986111,-0.423668603016487,-0.3233280168843573,0.0,1,2,0,0,0,0
446.0,53.83863747126888,32.48595337355681,15.275096686557148,2.165033199058706,3.706717052248194,120.02260458696054,62.6219422864316,68.71898552273522,59.335022659848015,19.0,22.0,0.863636324380167,-0.1952015773816313,-0.0787166818925858,0.0,0,0,2,2,0,1
447.0,64.54652452536097,24.722275093420905,19.29831168328732,2.507117169202429,4.015534634359855,130.53901168426947,68.5270114982885,71.89399043138543,55.25827045101203,20.0,29.0,0.689655148632581,-0.1624974505661763,-0.0649087523432949,0.0,0,1,2,1,0,0
448.0,56.00361829249219,41.60464729767682,9.387263243687832,2.2247533634375585,3.038634195633202,123.01051474987352,68.36360019909732,71.74548462572047,58.62074371343552,32.0,35.0,0.9142856881632662,-0.2052364199861941,-0.0388735605640699,0.0,0,2,2,2,0,0
449.0,76.69058588170988,47.68413770004349,19.439473395089777,1.9847219424530385,3.107527088037507,108.952786013139,63.091681378754615,62.95724984384982,49.71285524538643,22.0,36.0,0.611111094135803,-0.2989063733343136,-0.1160764486553946,0.0,0,2,2,1,0,0
450.0,19.592649465841376,21.12918363606761,2.0856377931056422,1.5792383717932337,2.432748196002679,117.67201326495824,79.39485892975802,62.071493846257226,52.48541478994692,27.0,1.0,26.999973000027,-0.284171586817207,-0.1864202649167588,0.0,1,0,0,1,0,0
451.0,68.6303705014758,41.08612689836791,6.877067984081807,1.778142308828543,2.825209603656004,106.37115603207214,80.43492786826297,46.56336112615138,35.7877415356143,18.0,31.0,0.5806451425598341,-0.4074398305759774,-0.1943539338199063,0.0,1,2,0,2,0,0
452.0,98.73332338943034,68.76149381166238,13.040862985680524,2.9520864669266365,2.9482450463474863,103.84976589044948,71.5151888744658,51.50946197030676,38.383158682575896,14.0,5.0,2.799999440000112,-0.3954157231066703,-0.2191145153720825,0.0,1,2,1,2,0,0
453.0,103.33342744731956,62.96393561826464,16.201155280942647,2.026547959988976,2.4061363450494,92.5093384074558,67.96909426534448,48.57525195632865,33.958791458619416,16.0,45.0,0.3555555476543212,-0.4240631263684642,-0.2909222890264307,0.0,1,1,0,1,0,0
454.0,87.06772043639364,58.60617421236135,14.73096313954452,1.4206961214408846,1.4527930013803034,87.48067472324784,66.76095060808044,45.89340202501823,33.10073329382545,2.0,26.0,0.0769230739644971,-0.4727119562048857,-0.298980791512588,0.0,1,2,0,2,0,0
455.0,101.87572934204258,64.53108051004757,11.701429004126265,1.7063610232566622,1.8453003728692268,78.5384827628509,58.96383366036028,45.16412224388915,32.624937578132936,16.0,37.0,0.4324324207450697,-0.4650578297665707,-0.4186204647762261,0.0,1,2,0,1,0,0
456.0,59.48433001160339,54.02485470353197,15.954453370367457,1.6523798628204394,5.381229536926631,101.2152615339946,88.41877962535372,34.626866426141376,28.802795566227555,27.0,17.0,1.5882352006920468,-0.3920141780886094,-0.0929754018917015,0.0,1,0,0,1,0,0
457.0,73.286536041749,68.17974861372586,15.428510363002545,2.65298154379863,7.304765674471984,96.78968045030692,85.84407006532442,35.492680773757534,27.1328874607501,22.0,18.0,1.2222221543209917,-0.3847966798609903,-0.1062097187937922,0.0,1,0,0,2,0,0
459.0,86.64842723904204,74.45534802927519,21.66511015521777,2.2987801081245136,3.497789973178268,82.24334338315326,63.13962188871315,47.98571907731208,37.34470517303773,24.0,28.0,0.8571428265306134,-0.4696664074502411,-0.1244711803912504,0.0,1,1,1,2,0,0
460.0,81.56258636799029,69.70871896237695,14.988575301717905,1.4136029171014908,4.906331284614351,76.57396453937072,60.86933297654579,43.78869580887679,35.01831115396555,29.0,22.0,1.3181817582644657,-0.4810833675652167,-0.1597275693532951,0.0,2,1,0,1,0,0
461.0,69.19783847606824,62.24943042873469,15.99067160991002,1.9471843482862832,2.943877510071608,89.52776125506097,77.98989706718096,37.58671923839595,31.63920840274522,26.0,23.0,1.1304347334593594,-0.4393558158650658,-0.1992031708700836,0.0,1,0,0,2,0,0
462.0,70.48167406603052,75.33516824489936,19.66238547346737,2.129440730046393,2.9335495386771098,82.27362957109793,69.7050846230541,36.59762317885525,31.485884078366794,22.0,23.0,0.9565216975425348,-0.4239220862908559,-0.0454914327075125,0.0,2,0,0,2,0,0
463.0,100.36804176662936,87.29529305995678,19.505005862573714,2.22666925898194,3.501824042882318,78.07886821756338,60.321306538175165,39.89119796068691,32.1774791607188,22.0,23.0,0.9565216975425348,-0.403129465764901,-0.1147697239212697,0.0,2,1,0,2,0,0
464.0,98.6545152242954,92.02815760475389,14.23228332701305,1.9439367001199104,3.781553074618296,64.16550138279797,53.93400226256124,36.82103220662201,28.2478262361132,27.0,22.0,1.227272671487606,-0.4970308373354863,-0.1802483548086647,0.25,2,2,0,2,0,0
465.0,106.516330052262,99.0346142710821,15.373849206828664,1.8584008027067924,2.972766129983057,67.64876306440071,51.54028300118763,38.641328447524856,31.073407804677878,22.0,24.0,0.9166666284722238,-0.4462323991680528,-0.1545602400065049,0.1666666666666666,2,1,0,2,0,0
466.0,85.90366190766123,98.1060814368261,19.94019374973985,2.5983275988868506,3.4532110598675687,62.7485466811754,46.547601923155085,44.3545876763624,37.94351670453575,33.0,28.0,1.1785713864795933,-0.393052136405749,-0.1071098016479058,0.1666666666666666,2,2,0,2,0,0
467.0,82.46004102605923,78.65416478692539,19.77895386984913,1.9542711746141777,1.5800742535005692,62.69770241892017,43.94009206233793,45.95670337503541,38.08575326932112,23.0,22.0,1.0454544979338865,-0.4609648078047691,-0.1399680165657423,0.2,2,2,0,2,0,0
468.0,95.72828440302484,88.03068573393746,10.54886396873842,1.176197505825796,4.874036346106034,60.326181897998126,43.964960793983565,44.30797892531667,36.39171904910407,34.0,24.0,1.4166666076388912,-0.4763775607212679,-0.2537719927043179,0.2777777777777778,2,2,0,1,0,0
470.0,93.27324952410082,88.8407156916043,19.017778136957265,1.647558994126309,3.334737946528139,63.73038127321301,46.06385699830069,43.38733419882466,34.51826011616612,26.0,23.0,1.1304347334593594,-0.4442799304918398,-0.1654657996001131,0.2222222222222222,2,2,0,1,0,0
471.0,84.86487245008233,87.60742289755986,19.975138537218157,1.7412916979906254,3.0591879334694405,69.34437424687555,56.4162792827053,37.37931895280952,32.31903000430855,23.0,22.0,1.0454544979338865,-0.4636198113762929,-0.1676874932671025,0.0833333333333333,2,2,0,1,0,0
472.0,110.3855767512952,101.3112095748904,19.738011128330665,1.9024820807701024,5.221643564606517,59.58166272409849,44.88619400314091,38.58050292649333,30.559270853630508,26.0,20.0,1.299999935000003,-0.4441434121348837,-0.1532717752830263,0.25,2,2,0,2,0,0
473.0,108.9441236274817,97.71967176311094,18.003348254501617,2.772323656646664,2.149220873443432,70.83184647403758,52.27887003690461,40.86320986991975,30.697271454909203,23.0,21.0,1.0952380430839026,-0.456477991012058,-0.0965317931065243,0.1944444444444444,2,1,0,2,0,0
474.0,99.18024850477498,89.6537444496754,13.612771518057462,2.0520076859419225,5.1458557395532205,73.49201115682087,56.1503757105787,36.82472111503417,29.478697544845904,23.0,21.0,1.0952380430839026,-0.4341213881116465,-0.1211358570252858,0.1944444444444444,2,2,0,2,0,0
475.0,64.70381321979463,54.44894665179402,2.6810878611179194,2.021010581753698,5.122129854885251,74.02341282294367,61.80215293183903,34.52011657720222,30.501297031303896,34.0,29.0,1.1724137526753875,-0.4884215870590267,-0.2929766491272496,0.0,2,1,0,1,0,0
476.0,91.10053081318804,53.93891765133221,16.35951284085406,2.8823395414876067,2.3424403749124547,101.7686709977372,55.99767322600822,63.54542589843504,47.05747708895757,24.0,22.0,1.090909041322316,-0.3007983853037732,-0.0006243587619681,0.0,1,1,2,1,0,0
477.0,89.37170972804708,46.57708860288358,33.4350501572663,5.319189019745233,10.318861546589805,89.12110980474739,21.163564286361822,171.7181811314861,162.7407141843502,20.0,20.0,0.9999999500000024,0.0188367124278917,0.4502384233123113,0.0833333333333333,1,1,2,2,0,0
478.0,73.56505422458079,54.74713998938594,14.143333414640844,2.7900678655079,3.529036918199214,101.7304692814632,65.98061451956812,54.268430053999495,42.07892889968273,25.0,20.0,1.249999937500003,-0.3578305918047146,-0.1146021461096731,0.0,1,1,2,1,0,0
479.0,84.23549723954945,59.48036128004594,14.752034647534789,2.5420351542739343,3.0140182973461718,93.20420619638162,58.840857473841865,54.26627352830344,43.11330370313575,34.0,15.0,2.2666665155555656,-0.3940318923128267,-0.0956847584530607,0.0,1,1,2,1,0,0
