video_name,valgus_min,valgus_max,valgus_variation,torso_lateral_peak,symmetry_mean,heel_wobble,heel_instability,toe_instability,knee_cave_frames,knee_cave_frac,knee_asym_mean,knee_asym_std,ankle_width_mean,ankle_width_std,hip_shift_max,hip_shift_std,sho_hip_offset_mean,sho_hip_offset_max
260,2.414287087976402,2.5741581197460235,0.0424857698079099,18.413524627685547,1.6661702027338767,1.1413573467861848,0.8531598511258018,0.7403084752281598,0.0,0.0,-1.982130893664111,0.0256080484913598,75.45013427734375,0.673959477286221,4.930419921875,1.575522855423861,14.323479599422878,18.413524627685547
261,2.2357789503600225,2.549267880766309,0.0975981246628222,18.921823501586918,1.7037857769225668,1.000787902511287,0.4493102865242508,0.4791473179820169,0.0,0.0,-2.107858094070663,0.0251483253822794,64.7380092408922,0.5819991319136925,4.934005737304688,1.492845836170223,10.394073327382406,18.921823501586918
262,2.139082964979717,2.546671514307887,0.092329725013067,14.128637313842772,1.6895629068549818,1.1335983856985343,0.4719651859840362,0.6539673578860029,0.0,0.0,-2.0748126678433865,0.0613832451723808,66.25075658162434,0.6736884099995989,3.1803417205810547,0.9628071105629123,11.18089410993788,14.128637313842772
263,2.126414470047467,2.379973435326596,0.0713616112595874,8.62269401550293,1.6691320167781756,0.7191757682081968,0.4823601077184289,0.5473607655045215,0.0,0.0,-1.8533901832041209,0.0430946543057018,69.83802954355876,0.4196107794935326,2.5641632080078125,0.7737537384350209,4.98374064763387,8.62269401550293
264,1.520658182947609,3.3412439887116885,0.4833821619176339,19.8980712890625,1.4440837615325006,46.70491722861377,5.426362443028425,7.5132685348484385,0.0,0.0,0.9960599875322756,0.2428044954516744,95.68809700012208,40.01496345486686,95.05989074707033,29.25717720088575,7.5887236228356,19.8980712890625
265,2.076671535842204,2.431235020986587,0.0946125508899988,16.805810928344727,1.6405662445525997,0.4469241401891631,0.6554452131968123,1.0112166753834324,0.0,0.0,-1.9273053268268765,0.0636891547823973,67.45994196997748,0.4667609779871299,8.455705642700195,2.9660962427575064,13.723582956526014,16.805810928344727
266,2.2931111497235888,2.6584258245480803,0.1100747670064432,11.027355194091797,1.684374072916985,1.1759819943550245,0.5312884424752876,2.0578527866617478,0.0,0.0,-2.075941755760409,0.0614458921965912,69.31979338328044,1.073433165921931,6.825361251831055,1.972632107972592,7.913027869330512,11.027355194091797
267,2.5664061685907296,2.753957780058637,0.0428008878812356,20.76272964477539,1.7050143738953925,0.7752264261998741,0.4107428626517183,1.4453402035905136,0.0,0.0,-1.8864388926567692,0.0320305714161138,81.91358831193712,1.633388379118739,8.07413101196289,2.849472838508366,18.43320581648085,20.76272964477539
268,2.4703206778972704,2.856087390792601,0.0951498908188245,12.21303939819336,1.7144691520212687,0.6941893368544851,0.6990118635830636,1.1892594206608371,0.0,0.0,-2.0918850546607377,0.0495416769582391,74.27782641516791,1.0025454172466055,7.093353271484375,2.2766925973824503,7.244305610656738,12.21303939819336
269,2.6663379212381493,2.804519425117874,0.036360685293442,22.92351722717285,1.6278632174383576,1.4539455921205624,0.6672589020325006,1.5215239680839572,0.0,0.0,-1.7348506220328206,0.0169684271741442,101.8913263744778,0.5507587613145829,14.37708854675293,3.903937215815679,17.690568765004475,22.92351722717285
270,2.472250009127701,2.6777546634580616,0.0410761777734918,7.46129035949707,1.714751586390554,1.3290425290929873,1.3048216270250077,1.14503615371378,0.0,0.0,-1.9433336949326017,0.046628976103503,88.6470741695828,0.6823454066546898,12.679386138916016,3.611767544581747,3.748485247294108,7.46129035949707
271,1.461253614999949,8.657269810764147,1.0138042944123309,12.918729782104492,1.6552001233318134,17.500056835329843,3.769624632608013,11.423552104033492,0.0,0.0,-1.9059711995768656,0.5577976224271795,83.43965848286946,24.31149402887727,333.9204788208008,91.71496435314796,10.5823908911811,12.918729782104492
272,2.539434050121744,2.7391409775797264,0.057781196552563,13.03121566772461,1.7056288717962529,0.5219575535661075,0.355973024772297,0.6734647610044248,0.0,0.0,-1.950550280772385,0.0318402281162955,84.27997377183702,0.38125962280274,5.737009048461914,1.759257464183988,8.730120658874512,13.03121566772461
273,2.50623634069711,2.736513539144046,0.0639314793170974,21.85551643371582,1.676194499153291,2.3661617818595158,1.3470026325841342,1.2823265993463084,0.0,0.0,-1.8374702486844336,0.0533790911615453,98.49158022138808,0.9095226618361596,9.83586311340332,2.747152086953456,16.669476826985676,21.85551643371582
